,melyseg,csucs_ellenallas,palast_ellenallas,porus_viznyomas,surlodasi_aranyszam
201,4.02,25.036,0.10133,0.0,0.405
202,4.04,24.715,0.09669,0.0,0.387
203,4.06,25.447,0.13001,0.0,0.509
204,4.08,26.657,0.14007,0.0,0.534
205,4.1,26.778,0.12674,0.0,0.472
206,4.12,26.687,0.11911,0.0,0.444
207,4.14,28.612,0.11066,0.0,0.4
208,4.16,28.498,0.11286,0.0,0.394
209,4.18,28.09,0.12983,0.0,0.465
210,4.2,26.606,0.13244,0.0,0.486
211,4.22,25.909,0.14641,0.0,0.549
212,4.24,22.886,0.1613,0.0,0.674
213,4.26,21.072,0.16037,0.0,0.742
214,4.28,20.197,0.21866,0.0,1.09
215,4.3,19.636,0.19287,0.0,0.964
216,4.32,18.459,0.20449,0.0,1.085
217,4.34,18.067,0.18343,0.0,1.023
218,4.36,18.313,0.20366,0.0,1.09
219,4.38,19.005,0.18519,0.0,0.982
220,4.4,19.643,0.20318,0.0,1.078
221,4.42,20.729,0.1482,0.0,0.739
222,4.44,20.758,0.17542,0.0,0.864
223,4.46,21.565,0.13949,0.0,0.633
224,4.48,21.304,0.10772,0.0,0.512
225,4.5,22.569,0.10782,0.0,0.487
226,4.52,22.966,0.1199,0.0,0.519
227,4.54,21.106,0.13256,0.0,0.612
228,4.56,20.803,0.12653,0.0,0.605
229,4.58,19.878,0.11608,0.0,0.562
230,4.6,18.235,0.08239,0.0,0.451
231,4.62,17.671,0.10129,0.0,0.554
232,4.64,18.341,0.11981,0.0,0.646
233,4.66,20.023,0.13854,0.0,0.681
234,4.68,23.557,0.15734,0.0,0.688
235,4.7,27.798,0.17845,0.0,0.649
236,4.72,30.51,0.20749,0.0,0.71
237,4.74,35.51,0.19005,0.0,0.578
238,4.76,42.1,0.20023,0.0,0.603
239,4.78,48.689,0.2344,0.0,0.669
240,4.8,55.763,0.22318,0.0,0.507
241,4.82,60.027,0.22247,0.0,0.385
242,4.84,62.478,0.26654,0.0,0.434
243,4.86,64.336,0.30331,0.0,0.472
244,4.88,67.464,0.25868,0.0,0.386
245,4.9,71.928,0.45183,0.0,0.621
246,4.92,76.506,0.66865,0.0,0.878
247,4.94,76.718,0.80038,0.0,1.034
248,4.96,75.84,0.73471,0.0,0.949
249,4.98,74.72,0.66588,0.0,0.888
250,5.0,70.295,0.45306,0.0,0.624
251,5.02,63.807,0.30747,0.0,0.424
252,5.04,57.318,0.24543,0.0,0.391
253,5.06,53.436,0.11991,0.0,0.214
254,5.08,49.685,0.15989,0.0,0.318
255,5.1,48.295,0.20192,0.0,0.42
256,5.12,49.15,0.18424,0.0,0.382
257,5.14,52.937,0.1922,0.0,0.373
258,5.16,50.795,0.17335,0.0,0.327
259,5.18,45.116,0.17251,0.0,0.364
260,5.2,40.877,0.19098,0.0,0.445
261,5.22,36.206,0.14174,0.0,0.388
262,5.24,32.331,0.13763,0.0,0.406
263,5.26,27.239,0.12026,0.0,0.399
264,5.28,23.186,0.09941,0.0,0.401
265,5.3,20.327,0.07052,0.0,0.326
266,5.32,18.234,0.04793,0.0,0.244
267,5.34,16.725,0.03985,0.0,0.223
268,5.36,15.454,0.03745,0.0,0.236
269,5.38,14.84,0.05274,0.0,0.347
270,5.4,14.074,0.05809,0.0,0.406
271,5.42,13.328,0.08635,0.0,0.633
272,5.44,12.101,0.08189,0.0,0.601
273,5.46,10.875,0.07556,0.0,0.554
274,5.48,10.095,0.07077,0.0,0.687
275,5.5,9.455,0.06032,0.0,0.61
276,5.52,9.089,0.06684,0.0,0.733
277,5.54,7.892,0.05883,0.0,0.671
278,5.56,7.189,0.06389,0.0,0.885
279,5.58,8.123,0.07606,0.0,1.002
