,melyseg,az_talajnem,az_jel,az_szin,al_talajtipus,al_allapot,al_szin
628,12.56,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
629,12.58,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,nagyon merev,#158a0f
630,12.6,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,nagyon merev,#158a0f
631,12.62,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
632,12.64,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
633,12.66,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
634,12.68,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
635,12.7,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
636,12.72,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
637,12.74,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
638,12.76,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
639,12.78,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
640,12.8,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
641,12.82,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
642,12.84,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
643,12.86,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
644,12.88,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
645,12.9,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
646,12.92,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
647,12.94,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
648,12.96,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
649,12.98,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
650,13.0,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
651,13.02,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
652,13.04,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
653,13.06,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,merev,#58b814
654,13.08,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
655,13.1,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
656,13.12,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
657,13.14,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
658,13.16,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
659,13.18,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
660,13.2,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
661,13.22,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
662,13.24,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
663,13.26,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
664,13.28,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
665,13.3,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
666,13.32,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
667,13.34,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
668,13.36,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
669,13.38,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
670,13.4,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
671,13.42,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
672,13.44,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
673,13.46,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
674,13.48,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
675,13.5,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
676,13.52,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
677,13.54,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
678,13.56,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
679,13.58,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
680,13.6,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
681,13.62,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
682,13.64,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
683,13.66,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
684,13.68,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
685,13.7,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
686,13.72,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,nagyon merev,#158a0f
687,13.74,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,nagyon merev,#158a0f
688,13.76,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,nagyon merev,#158a0f
689,13.78,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,nagyon merev,#158a0f
690,13.8,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
691,13.82,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
692,13.84,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
693,13.86,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
694,13.88,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
695,13.9,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
696,13.92,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
697,13.94,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
698,13.96,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
699,13.98,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
700,14.0,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
701,14.02,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
702,14.04,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
703,14.06,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
704,14.08,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
705,14.1,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
706,14.12,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
707,14.14,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
708,14.16,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
709,14.18,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
710,14.2,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
711,14.22,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
712,14.24,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
713,14.26,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
714,14.28,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
715,14.3,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
716,14.32,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
717,14.34,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
718,14.36,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
719,14.38,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
